equation,operand_1,operation,operand_2,answer
879+669=1548,879,+,669,1548
476-298=178,476,-,298,178
803-94=709,803,-,94,709
69+247=316,69,+,247,316
174+523=697,174,+,523,697
931-181=750,931,-,181,750
292+745=1037,292,+,745,1037
420-296=124,420,-,296,124
807-184=623,807,-,184,623
336+550=886,336,+,550,886
431+720=1151,431,+,720,1151
639+748=1387,639,+,748,1387
902+103=1005,902,+,103,1005
971+56=1027,971,+,56,1027
33+6=39,33,+,6,39
264+202=466,264,+,202,466
467+342=809,467,+,342,809
68+502=570,68,+,502,570
344-246=98,344,-,246,98
94-35=59,94,-,35,59
37+30=67,37,+,30,67
745-218=527,745,-,218,527
577-555=22,577,-,555,22
254+618=872,254,+,618,872
613-594=19,613,-,594,19
91+425=516,91,+,425,516
838+518=1356,838,+,518,1356
257+234=491,257,+,234,491
390-377=13,390,-,377,13
742-1=741,742,-,1,741
355+403=758,355,+,403,758
877-748=129,877,-,748,129
469+572=1041,469,+,572,1041
535+826=1361,535,+,826,1361
405+583=988,405,+,583,988
648-219=429,648,-,219,429
535-480=55,535,-,480,55
450-443=7,450,-,443,7
467+791=1258,467,+,791,1258
521+85=606,521,+,85,606
279+378=657,279,+,378,657
814-471=343,814,-,471,343
91-88=3,91,-,88,3
142+317=459,142,+,317,459
786-631=155,786,-,631,155
815-536=279,815,-,536,279
643+447=1090,643,+,447,1090
410+340=750,410,+,340,750
127+463=590,127,+,463,590
170+590=760,170,+,590,760
425+524=949,425,+,524,949
954-953=1,954,-,953,1
255+85=340,255,+,85,340
937-175=762,937,-,175,762
356-125=231,356,-,125,231
916-483=433,916,-,483,433
269+45=314,269,+,45,314
498-94=404,498,-,94,404
781-679=102,781,-,679,102
598-598=0,598,-,598,0
673+425=1098,673,+,425,1098
988+285=1273,988,+,285,1273
943-309=634,943,-,309,634
488-479=9,488,-,479,9
610+458=1068,610,+,458,1068
622-618=4,622,-,618,4
246+543=789,246,+,543,789
971-967=4,971,-,967,4
718-198=520,718,-,198,520
501+456=957,501,+,456,957
92+955=1047,92,+,955,1047
362-321=41,362,-,321,41
149+878=1027,149,+,878,1027
356-286=70,356,-,286,70
12+5=17,12,+,5,17
988-326=662,988,-,326,662
3+114=117,3,+,114,117
949-290=659,949,-,290,659
995-922=73,995,-,922,73
615-541=74,615,-,541,74
455+796=1251,455,+,796,1251
417+701=1118,417,+,701,1118
362-239=123,362,-,239,123
610-573=37,610,-,573,37
697-34=663,697,-,34,663
914-829=85,914,-,829,85
686-679=7,686,-,679,7
594+430=1024,594,+,430,1024
895-96=799,895,-,96,799
932-760=172,932,-,760,172
449-290=159,449,-,290,159
873-610=263,873,-,610,263
190-183=7,190,-,183,7
471+540=1011,471,+,540,1011
790-347=443,790,-,347,443
221-194=27,221,-,194,27
874-663=211,874,-,663,211
602+627=1229,602,+,627,1229
713+59=772,713,+,59,772
25+7=32,25,+,7,32
49-8=41,49,-,8,41
394-286=108,394,-,286,108
781-266=515,781,-,266,515
55+663=718,55,+,663,718
782-355=427,782,-,355,427
787+462=1249,787,+,462,1249
209+842=1051,209,+,842,1051
281+694=975,281,+,694,975
159-85=74,159,-,85,74
62+610=672,62,+,610,672
489+893=1382,489,+,893,1382
765-699=66,765,-,699,66
11+693=704,11,+,693,704
399-251=148,399,-,251,148
656+372=1028,656,+,372,1028
14+12=26,14,+,12,26
681-23=658,681,-,23,658
674-290=384,674,-,290,384
555+177=732,555,+,177,732
427+943=1370,427,+,943,1370
951-898=53,951,-,898,53
712-608=104,712,-,608,104
424+369=793,424,+,369,793
139-70=69,139,-,70,69
816+345=1161,816,+,345,1161
804-145=659,804,-,145,659
752+81=833,752,+,81,833
833+913=1746,833,+,913,1746
716-632=84,716,-,632,84
821+743=1564,821,+,743,1564
555-325=230,555,-,325,230
259+931=1190,259,+,931,1190
623-94=529,623,-,94,529
67+21=88,67,+,21,88
959+231=1190,959,+,231,1190
608+798=1406,608,+,798,1406
991-972=19,991,-,972,19
978+807=1785,978,+,807,1785
517-453=64,517,-,453,64
169+941=1110,169,+,941,1110
436-96=340,436,-,96,340
887+964=1851,887,+,964,1851
401-339=62,401,-,339,62
980+274=1254,980,+,274,1254
92+406=498,92,+,406,498
125+39=164,125,+,39,164
442+43=485,442,+,43,485
758+481=1239,758,+,481,1239
87-78=9,87,-,78,9
998-738=260,998,-,738,260
289-263=26,289,-,263,26
810-403=407,810,-,403,407
445+420=865,445,+,420,865
190-84=106,190,-,84,106
610+184=794,610,+,184,794
261+459=720,261,+,459,720
954-864=90,954,-,864,90
966+286=1252,966,+,286,1252
536+747=1283,536,+,747,1283
5+91=96,5,+,91,96
880+696=1576,880,+,696,1576
464-241=223,464,-,241,223
579+166=745,579,+,166,745
620-550=70,620,-,550,70
691-592=99,691,-,592,99
214+554=768,214,+,554,768
273+922=1195,273,+,922,1195
199+479=678,199,+,479,678
850-293=557,850,-,293,557
109+15=124,109,+,15,124
432-354=78,432,-,354,78
410+826=1236,410,+,826,1236
600-72=528,600,-,72,528
782-264=518,782,-,264,518
908+279=1187,908,+,279,1187
555-424=131,555,-,424,131
636+812=1448,636,+,812,1448
729-247=482,729,-,247,482
608-21=587,608,-,21,587
751+286=1037,751,+,286,1037
867-681=186,867,-,681,186
690+395=1085,690,+,395,1085
315+43=358,315,+,43,358
458-414=44,458,-,414,44
959-916=43,959,-,916,43
524-275=249,524,-,275,249
907+598=1505,907,+,598,1505
450-133=317,450,-,133,317
614-606=8,614,-,606,8
71-11=60,71,-,11,60
733+619=1352,733,+,619,1352
110+835=945,110,+,835,945
470-9=461,470,-,9,461
726+405=1131,726,+,405,1131
61+11=72,61,+,11,72
977-899=78,977,-,899,78
415+401=816,415,+,401,816
735-563=172,735,-,563,172
845+236=1081,845,+,236,1081
945+850=1795,945,+,850,1795
936-744=192,936,-,744,192
485-391=94,485,-,391,94
16+82=98,16,+,82,98
477-98=379,477,-,98,379
910-103=807,910,-,103,807
688-384=304,688,-,384,304
383-65=318,383,-,65,318
373-208=165,373,-,208,165
134+884=1018,134,+,884,1018
669-659=10,669,-,659,10
997-916=81,997,-,916,81
269-99=170,269,-,99,170
262+547=809,262,+,547,809
929-914=15,929,-,914,15
840-397=443,840,-,397,443
461+514=975,461,+,514,975
257-189=68,257,-,189,68
19+909=928,19,+,909,928
588+341=929,588,+,341,929
539-145=394,539,-,145,394
515-123=392,515,-,123,392
831-366=465,831,-,366,465
910-907=3,910,-,907,3
93+118=211,93,+,118,211
795-168=627,795,-,168,627
952-573=379,952,-,573,379
286-85=201,286,-,85,201
12+7=19,12,+,7,19
929-816=113,929,-,816,113
35+679=714,35,+,679,714
132+281=413,132,+,281,413
179-174=5,179,-,174,5
991+856=1847,991,+,856,1847
270+51=321,270,+,51,321
518-517=1,518,-,517,1
985+734=1719,985,+,734,1719
443+111=554,443,+,111,554
613-62=551,613,-,62,551
183+379=562,183,+,379,562
518+765=1283,518,+,765,1283
699-233=466,699,-,233,466
151-50=101,151,-,50,101
654-654=0,654,-,654,0
614-333=281,614,-,333,281
100+435=535,100,+,435,535
113+123=236,113,+,123,236
284+163=447,284,+,163,447
197-7=190,197,-,7,190
266-49=217,266,-,49,217
123+575=698,123,+,575,698
284-273=11,284,-,273,11
256-123=133,256,-,123,133
927-279=648,927,-,279,648
249-224=25,249,-,224,25
853-356=497,853,-,356,497
899-881=18,899,-,881,18
943+378=1321,943,+,378,1321
878+898=1776,878,+,898,1776
994+146=1140,994,+,146,1140
274-124=150,274,-,124,150
915+714=1629,915,+,714,1629
493+899=1392,493,+,899,1392
676+506=1182,676,+,506,1182
667+687=1354,667,+,687,1354
906+92=998,906,+,92,998
193+683=876,193,+,683,876
512+757=1269,512,+,757,1269
269-267=2,269,-,267,2
455+180=635,455,+,180,635
769-648=121,769,-,648,121
454+955=1409,454,+,955,1409
3+46=49,3,+,46,49
864-219=645,864,-,219,645
711-638=73,711,-,638,73
307-305=2,307,-,305,2
39+30=69,39,+,30,69
22+69=91,22,+,69,91
859+986=1845,859,+,986,1845
431+183=614,431,+,183,614
84+13=97,84,+,13,97
945+234=1179,945,+,234,1179
878-676=202,878,-,676,202
865+445=1310,865,+,445,1310
539-448=91,539,-,448,91
241+566=807,241,+,566,807
545-538=7,545,-,538,7
640+786=1426,640,+,786,1426
423-418=5,423,-,418,5
481+545=1026,481,+,545,1026
89+681=770,89,+,681,770
15+323=338,15,+,323,338
623+519=1142,623,+,519,1142
838+216=1054,838,+,216,1054
526-128=398,526,-,128,398
303-253=50,303,-,253,50
720+777=1497,720,+,777,1497
230+675=905,230,+,675,905
63+64=127,63,+,64,127
899+614=1513,899,+,614,1513
283-278=5,283,-,278,5
582+511=1093,582,+,511,1093
18+355=373,18,+,355,373
95+348=443,95,+,348,443
56+622=678,56,+,622,678
199+465=664,199,+,465,664
850+709=1559,850,+,709,1559
849+278=1127,849,+,278,1127
729+824=1553,729,+,824,1553
832-618=214,832,-,618,214
236+312=548,236,+,312,548
939-575=364,939,-,575,364
568+5=573,568,+,5,573
231-157=74,231,-,157,74
199-32=167,199,-,32,167
28-24=4,28,-,24,4
784-1=783,784,-,1,783
284+258=542,284,+,258,542
388-147=241,388,-,147,241
361-356=5,361,-,356,5
845+416=1261,845,+,416,1261
715-581=134,715,-,581,134
35+34=69,35,+,34,69
868+974=1842,868,+,974,1842
45+310=355,45,+,310,355
135+33=168,135,+,33,168
726+576=1302,726,+,576,1302
654-421=233,654,-,421,233
557-283=274,557,-,283,274
433-335=98,433,-,335,98
742+147=889,742,+,147,889
480-354=126,480,-,354,126
832+680=1512,832,+,680,1512
57+24=81,57,+,24,81
208+423=631,208,+,423,631
901+863=1764,901,+,863,1764
702+966=1668,702,+,966,1668
941+730=1671,941,+,730,1671
771-763=8,771,-,763,8
208+62=270,208,+,62,270
545-227=318,545,-,227,318
300-298=2,300,-,298,2
140-13=127,140,-,13,127
670-666=4,670,-,666,4
675+433=1108,675,+,433,1108
256+575=831,256,+,575,831
330+986=1316,330,+,986,1316
171+6=177,171,+,6,177
480-386=94,480,-,386,94
574-570=4,574,-,570,4
48+381=429,48,+,381,429
840-817=23,840,-,817,23
731+620=1351,731,+,620,1351
484-423=61,484,-,423,61
943-938=5,943,-,938,5
973-39=934,973,-,39,934
964+705=1669,964,+,705,1669
322+316=638,322,+,316,638
605+307=912,605,+,307,912
866-857=9,866,-,857,9
613-246=367,613,-,246,367
658+318=976,658,+,318,976
895-565=330,895,-,565,330
163-161=2,163,-,161,2
98+389=487,98,+,389,487
23+58=81,23,+,58,81
421+830=1251,421,+,830,1251
185-182=3,185,-,182,3
327-244=83,327,-,244,83
424-34=390,424,-,34,390
294-109=185,294,-,109,185
296+46=342,296,+,46,342
118+162=280,118,+,162,280
97+606=703,97,+,606,703
491+904=1395,491,+,904,1395
63+23=86,63,+,23,86
606-269=337,606,-,269,337
565-318=247,565,-,318,247
736+121=857,736,+,121,857
923-569=354,923,-,569,354
794-696=98,794,-,696,98
878-542=336,878,-,542,336
739+173=912,739,+,173,912
880-78=802,880,-,78,802
759-413=346,759,-,413,346
370+488=858,370,+,488,858
785-727=58,785,-,727,58
12+70=82,12,+,70,82
438+762=1200,438,+,762,1200
810-534=276,810,-,534,276
472+444=916,472,+,444,916
727-689=38,727,-,689,38
614-354=260,614,-,354,260
547-325=222,547,-,325,222
989+600=1589,989,+,600,1589
632+105=737,632,+,105,737
536+589=1125,536,+,589,1125
696+495=1191,696,+,495,1191
682-228=454,682,-,228,454
771+434=1205,771,+,434,1205
574-558=16,574,-,558,16
231-230=1,231,-,230,1
605+780=1385,605,+,780,1385
373+974=1347,373,+,974,1347
716-217=499,716,-,217,499
727+433=1160,727,+,433,1160
624-106=518,624,-,106,518
154+932=1086,154,+,932,1086
919-910=9,919,-,910,9
622-306=316,622,-,306,316
403+174=577,403,+,174,577
739-735=4,739,-,735,4
397+461=858,397,+,461,858
446-111=335,446,-,111,335
137+164=301,137,+,164,301
461-280=181,461,-,280,181
547+425=972,547,+,425,972
48+39=87,48,+,39,87
336-107=229,336,-,107,229
682+938=1620,682,+,938,1620
974+389=1363,974,+,389,1363
320-320=0,320,-,320,0
195-128=67,195,-,128,67
535+330=865,535,+,330,865
908-899=9,908,-,899,9
787-418=369,787,-,418,369
679+984=1663,679,+,984,1663
843-83=760,843,-,83,760
648-330=318,648,-,330,318
448-374=74,448,-,374,74
34+23=57,34,+,23,57
776+212=988,776,+,212,988
473+979=1452,473,+,979,1452
675+950=1625,675,+,950,1625
77+1=78,77,+,1,78
220-151=69,220,-,151,69
819-654=165,819,-,654,165
910+455=1365,910,+,455,1365
449+492=941,449,+,492,941
507+148=655,507,+,148,655
147+305=452,147,+,305,452
91+8=99,91,+,8,99
9+595=604,9,+,595,604
845-36=809,845,-,36,809
872+498=1370,872,+,498,1370
496-441=55,496,-,441,55
622+101=723,622,+,101,723
725-501=224,725,-,501,224
659+774=1433,659,+,774,1433
660+471=1131,660,+,471,1131
413-406=7,413,-,406,7
843+898=1741,843,+,898,1741
881-9=872,881,-,9,872
228+915=1143,228,+,915,1143
680-44=636,680,-,44,636
475+497=972,475,+,497,972
234+844=1078,234,+,844,1078
9+900=909,9,+,900,909
826+169=995,826,+,169,995
88+898=986,88,+,898,986
173+966=1139,173,+,966,1139
5+33=38,5,+,33,38
939-199=740,939,-,199,740
600-164=436,600,-,164,436
874-851=23,874,-,851,23
927+102=1029,927,+,102,1029
973-141=832,973,-,141,832
325+529=854,325,+,529,854
785+329=1114,785,+,329,1114
282+779=1061,282,+,779,1061
838-93=745,838,-,93,745
989+266=1255,989,+,266,1255
6+56=62,6,+,56,62
818-733=85,818,-,733,85
763+718=1481,763,+,718,1481
556+462=1018,556,+,462,1018
845+514=1359,845,+,514,1359
298+542=840,298,+,542,840
48+607=655,48,+,607,655
898+211=1109,898,+,211,1109
745-486=259,745,-,486,259
463+779=1242,463,+,779,1242
241+556=797,241,+,556,797
808+635=1443,808,+,635,1443
615+785=1400,615,+,785,1400
150-37=113,150,-,37,113
862-429=433,862,-,429,433
337+657=994,337,+,657,994
259+544=803,259,+,544,803
723-622=101,723,-,622,101
976-706=270,976,-,706,270
854+108=962,854,+,108,962
864-111=753,864,-,111,753
766+201=967,766,+,201,967
653-607=46,653,-,607,46
34+662=696,34,+,662,696
379+152=531,379,+,152,531
819-103=716,819,-,103,716
520+793=1313,520,+,793,1313
563+713=1276,563,+,713,1276
84+40=124,84,+,40,124
431-251=180,431,-,251,180
619-521=98,619,-,521,98
137-111=26,137,-,111,26
350+773=1123,350,+,773,1123
959-417=542,959,-,417,542
810+146=956,810,+,146,956
488+777=1265,488,+,777,1265
904+350=1254,904,+,350,1254
922-920=2,922,-,920,2
967-82=885,967,-,82,885
510+962=1472,510,+,962,1472
287+704=991,287,+,704,991
850+143=993,850,+,143,993
548+301=849,548,+,301,849
780+755=1535,780,+,755,1535
136-91=45,136,-,91,45
118+781=899,118,+,781,899
788-335=453,788,-,335,453
228+528=756,228,+,528,756
965-605=360,965,-,605,360
924+228=1152,924,+,228,1152
810+227=1037,810,+,227,1037
469-100=369,469,-,100,369
845+867=1712,845,+,867,1712
517+558=1075,517,+,558,1075
202-185=17,202,-,185,17
211-206=5,211,-,206,5
467-398=69,467,-,398,69
58+758=816,58,+,758,816
24+601=625,24,+,601,625
991-595=396,991,-,595,396
241-33=208,241,-,33,208
536-232=304,536,-,232,304
497-96=401,497,-,96,401
909+311=1220,909,+,311,1220
56+0=56,56,+,0,56
937-168=769,937,-,168,769
144+777=921,144,+,777,921
964-790=174,964,-,790,174
778+884=1662,778,+,884,1662
869-493=376,869,-,493,376
758+537=1295,758,+,537,1295
330+377=707,330,+,377,707
451+324=775,451,+,324,775
237+236=473,237,+,236,473
65+451=516,65,+,451,516
78+210=288,78,+,210,288
935+205=1140,935,+,205,1140
659+360=1019,659,+,360,1019
948-551=397,948,-,551,397
829-26=803,829,-,26,803
365-358=7,365,-,358,7
889-420=469,889,-,420,469
166+546=712,166,+,546,712
103+937=1040,103,+,937,1040
44+37=81,44,+,37,81
482+137=619,482,+,137,619
277+54=331,277,+,54,331
762+47=809,762,+,47,809
565-532=33,565,-,532,33
55+87=142,55,+,87,142
576-181=395,576,-,181,395
9+303=312,9,+,303,312
616-609=7,616,-,609,7
607+42=649,607,+,42,649
869-28=841,869,-,28,841
604-112=492,604,-,112,492
949-758=191,949,-,758,191
647-94=553,647,-,94,553
232+41=273,232,+,41,273
866+187=1053,866,+,187,1053
415+282=697,415,+,282,697
539+104=643,539,+,104,643
792+302=1094,792,+,302,1094
327+894=1221,327,+,894,1221
738+64=802,738,+,64,802
954-728=226,954,-,728,226
542+652=1194,542,+,652,1194
679+694=1373,679,+,694,1373
726+439=1165,726,+,439,1165
900-874=26,900,-,874,26
888-231=657,888,-,231,657
204-197=7,204,-,197,7
688+988=1676,688,+,988,1676
13+57=70,13,+,57,70
603+981=1584,603,+,981,1584
644+919=1563,644,+,919,1563
130+405=535,130,+,405,535
918-891=27,918,-,891,27
127-70=57,127,-,70,57
541-197=344,541,-,197,344
784-228=556,784,-,228,556
559+128=687,559,+,128,687
192+499=691,192,+,499,691
170+984=1154,170,+,984,1154
764+592=1356,764,+,592,1356
248-25=223,248,-,25,223
960+139=1099,960,+,139,1099
434+571=1005,434,+,571,1005
729-728=1,729,-,728,1
919+868=1787,919,+,868,1787
787-63=724,787,-,63,724
754+605=1359,754,+,605,1359
408+513=921,408,+,513,921
989+910=1899,989,+,910,1899
716+137=853,716,+,137,853
943-157=786,943,-,157,786
655-296=359,655,-,296,359
351+394=745,351,+,394,745
818+196=1014,818,+,196,1014
414-404=10,414,-,404,10
275+422=697,275,+,422,697
44+303=347,44,+,303,347
209+187=396,209,+,187,396
43+610=653,43,+,610,653
900+990=1890,900,+,990,1890
503-425=78,503,-,425,78
375+464=839,375,+,464,839
328+912=1240,328,+,912,1240
35-4=31,35,-,4,31
913+109=1022,913,+,109,1022
545+666=1211,545,+,666,1211
828-16=812,828,-,16,812
671+439=1110,671,+,439,1110
498+798=1296,498,+,798,1296
658-652=6,658,-,652,6
343+276=619,343,+,276,619
441+509=950,441,+,509,950
833-602=231,833,-,602,231
5+999=1004,5,+,999,1004
552+451=1003,552,+,451,1003
433-402=31,433,-,402,31
533-4=529,533,-,4,529
352-231=121,352,-,231,121
132-128=4,132,-,128,4
156-104=52,156,-,104,52
985+718=1703,985,+,718,1703
982-206=776,982,-,206,776
334+381=715,334,+,381,715
584-282=302,584,-,282,302
701-241=460,701,-,241,460
715+56=771,715,+,56,771
537-19=518,537,-,19,518
508-288=220,508,-,288,220
727+743=1470,727,+,743,1470
659-511=148,659,-,511,148
842+28=870,842,+,28,870
712-351=361,712,-,351,361
62+474=536,62,+,474,536
444-129=315,444,-,129,315
668+165=833,668,+,165,833
465-457=8,465,-,457,8
332-275=57,332,-,275,57
15+485=500,15,+,485,500
37+31=68,37,+,31,68
235-232=3,235,-,232,3
849+459=1308,849,+,459,1308
781-772=9,781,-,772,9
994+220=1214,994,+,220,1214
657-594=63,657,-,594,63
796-698=98,796,-,698,98
846-155=691,846,-,155,691
399-67=332,399,-,67,332
755-8=747,755,-,8,747
811-464=347,811,-,464,347
450-320=130,450,-,320,130
614+614=1228,614,+,614,1228
128+38=166,128,+,38,166
541-536=5,541,-,536,5
563-464=99,563,-,464,99
308-150=158,308,-,150,158
15+70=85,15,+,70,85
414-83=331,414,-,83,331
773+444=1217,773,+,444,1217
180-126=54,180,-,126,54
707+561=1268,707,+,561,1268
675-256=419,675,-,256,419
13+81=94,13,+,81,94
134+188=322,134,+,188,322
656+40=696,656,+,40,696
788-746=42,788,-,746,42
405+494=899,405,+,494,899
401-310=91,401,-,310,91
479+960=1439,479,+,960,1439
934-730=204,934,-,730,204
580-495=85,580,-,495,85
7+2=9,7,+,2,9
121-115=6,121,-,115,6
154-100=54,154,-,100,54
330-155=175,330,-,155,175
666+968=1634,666,+,968,1634
212+992=1204,212,+,992,1204
31+525=556,31,+,525,556
434-357=77,434,-,357,77
840-779=61,840,-,779,61
272+583=855,272,+,583,855
370+815=1185,370,+,815,1185
719-638=81,719,-,638,81
653+324=977,653,+,324,977
394+765=1159,394,+,765,1159
802-67=735,802,-,67,735
851+245=1096,851,+,245,1096
957+312=1269,957,+,312,1269
617-345=272,617,-,345,272
991+730=1721,991,+,730,1721
902+883=1785,902,+,883,1785
577+104=681,577,+,104,681
367-300=67,367,-,300,67
472+978=1450,472,+,978,1450
518+169=687,518,+,169,687
512+360=872,512,+,360,872
956+724=1680,956,+,724,1680
156-84=72,156,-,84,72
837-330=507,837,-,330,507
795-695=100,795,-,695,100
556+885=1441,556,+,885,1441
213+549=762,213,+,549,762
414-38=376,414,-,38,376
613-608=5,613,-,608,5
816+707=1523,816,+,707,1523
628+65=693,628,+,65,693
3+14=17,3,+,14,17
618+780=1398,618,+,780,1398
8+14=22,8,+,14,22
450-423=27,450,-,423,27
990-60=930,990,-,60,930
67+25=92,67,+,25,92
401-377=24,401,-,377,24
985-260=725,985,-,260,725
389-258=131,389,-,258,131
835+531=1366,835,+,531,1366
468+867=1335,468,+,867,1335
390-387=3,390,-,387,3
998-283=715,998,-,283,715
296-265=31,296,-,265,31
130-85=45,130,-,85,45
312+174=486,312,+,174,486
825-327=498,825,-,327,498
181-179=2,181,-,179,2
485+160=645,485,+,160,645
398+679=1077,398,+,679,1077
665-165=500,665,-,165,500
34+41=75,34,+,41,75
398-352=46,398,-,352,46
799+284=1083,799,+,284,1083
786-178=608,786,-,178,608
44+20=64,44,+,20,64
219-208=11,219,-,208,11
143-16=127,143,-,16,127
195-164=31,195,-,164,31
237-202=35,237,-,202,35
165+612=777,165,+,612,777
997-196=801,997,-,196,801
734+944=1678,734,+,944,1678
126-118=8,126,-,118,8
959-698=261,959,-,698,261
146+636=782,146,+,636,782
551+503=1054,551,+,503,1054
892-288=604,892,-,288,604
83+160=243,83,+,160,243
307-105=202,307,-,105,202
827-241=586,827,-,241,586
352-20=332,352,-,20,332
301+89=390,301,+,89,390
691-200=491,691,-,200,491
618-602=16,618,-,602,16
326-323=3,326,-,323,3
911+414=1325,911,+,414,1325
720+653=1373,720,+,653,1373
894-598=296,894,-,598,296
497+255=752,497,+,255,752
867+135=1002,867,+,135,1002
40-31=9,40,-,31,9
439-57=382,439,-,57,382
894+965=1859,894,+,965,1859
280-72=208,280,-,72,208
358-169=189,358,-,169,189
685+910=1595,685,+,910,1595
184+61=245,184,+,61,245
693-249=444,693,-,249,444
148+485=633,148,+,485,633
819-504=315,819,-,504,315
843-337=506,843,-,337,506
825-806=19,825,-,806,19
473+423=896,473,+,423,896
994+571=1565,994,+,571,1565
364-101=263,364,-,101,263
25+760=785,25,+,760,785
125-107=18,125,-,107,18
353-350=3,353,-,350,3
323-151=172,323,-,151,172
15-7=8,15,-,7,8
854+793=1647,854,+,793,1647
758+878=1636,758,+,878,1636
53+35=88,53,+,35,88
411-405=6,411,-,405,6
277-277=0,277,-,277,0
250+591=841,250,+,591,841
364+534=898,364,+,534,898
373-230=143,373,-,230,143
836-286=550,836,-,286,550
152+758=910,152,+,758,910
807-761=46,807,-,761,46
6+66=72,6,+,66,72
654+807=1461,654,+,807,1461
156+28=184,156,+,28,184
737-733=4,737,-,733,4
439+325=764,439,+,325,764
754-568=186,754,-,568,186
976-552=424,976,-,552,424
176+154=330,176,+,154,330
994-931=63,994,-,931,63
141-69=72,141,-,69,72
102-64=38,102,-,64,38
102+867=969,102,+,867,969
390+508=898,390,+,508,898
766+646=1412,766,+,646,1412
893+81=974,893,+,81,974
597-267=330,597,-,267,330
178-171=7,178,-,171,7
594+618=1212,594,+,618,1212
977+896=1873,977,+,896,1873
834-831=3,834,-,831,3
996-68=928,996,-,68,928
711-705=6,711,-,705,6
723-550=173,723,-,550,173
893+201=1094,893,+,201,1094
996+886=1882,996,+,886,1882
